farmer_username,product_name,price,description,is_organic,grade_score
farmerdipta31,Bananas,54.71,"Conventional Bananas, Grade C, from Gujarat, hand-picked",0,1
farmergeetika62,Oranges,107.89,"Conventional Oranges, Grade A, from Tamil Nadu, hand-picked",0,3
farmerranganathanwishi,Wheat,34.1,"Organic Wheat, Grade B, from Maharashtra, hand-picked, Reprehenderit iste corporis quasi.",1,2
farmerykarnik,Oranges,60.69,"Conventional Oranges, Grade C, from Tamil Nadu, premium quality",0,1
farmerkborah,Mangoes,279.82,"Organic Mangoes, Grade A, from Tamil Nadu, hand-picked",1,3
farmerharsh09,Oranges,56.96,"Conventional Oranges, Grade C, from Tamil Nadu, locally grown",0,1
farmerunnimukherjee,Green Peas,61.79,"Conventional Green Peas, Grade C, from Karnataka, locally grown",0,1
farmerekaraj58,Wheat,21.64,"Conventional Wheat, Grade C, from Tamil Nadu, freshly harvested, Occaecati aliquid illum.",0,1
farmervlad,Cauliflower,38.37,"Organic Cauliflower, Grade B, from Karnataka, farm-fresh, Repudiandae blanditiis voluptatem doloremque alias.",1,2
farmerharinakshidube,Wheat,54.27,"Organic Wheat, Grade A, from Gujarat, farm-fresh",1,3
farmerjdugal,Potatoes,23.84,"Conventional Potatoes, Grade C, from Tamil Nadu, freshly harvested",0,1
farmerguneet98,Cabbage,64.88,"Organic Cabbage, Grade A, from Punjab, farm-fresh, Architecto explicabo deserunt nemo.",1,3
farmersbose,Apples,143.02,"Conventional Apples, Grade C, from Punjab, premium quality",0,1
farmercharankhurana,Tomatoes,50.16,"Organic Tomatoes, Grade C, from Tamil Nadu, locally grown",1,1
farmerrnagar,Green Peas,59.47,"Conventional Green Peas, Grade B, from Gujarat, farm-fresh",0,2
farmersekhonayushman,Carrots,58.47,"Organic Carrots, Grade B, from Maharashtra, locally grown",1,2
farmerdbumb,Rice,49.37,"Conventional Rice, Grade C, from Tamil Nadu, freshly harvested",0,1
farmerranveerdora,Bananas,63.14,"Conventional Bananas, Grade B, from Maharashtra, freshly harvested, Delectus nihil.",0,2
farmeraayush68,Potatoes,18.39,"Conventional Potatoes, Grade C, from Gujarat, locally grown",0,1
farmermadhav77,Tomatoes,52.05,"Organic Tomatoes, Grade B, from Karnataka, premium quality, Dicta sint.",1,2
farmerekapadnagar,Apples,133.09,"Conventional Apples, Grade C, from Tamil Nadu, freshly harvested",0,1
farmersanayachand,Okra,65.18,"Conventional Okra, Grade A, from Punjab, premium quality, Reiciendis quas placeat.",0,3
farmershivanshsaxena,Cauliflower,50.05,"Organic Cauliflower, Grade B, from Gujarat, locally grown",1,2
farmerjairaj68,Tomatoes,49.13,"Conventional Tomatoes, Grade B, from Maharashtra, freshly harvested",0,2
farmeranvi17,Rice,72.66,"Conventional Rice, Grade B, from Karnataka, locally grown, Animi assumenda facere eveniet.",0,2
farmerranazayyan,Cabbage,54.11,"Organic Cabbage, Grade A, from Uttar Pradesh, premium quality",1,3
farmeridey,Wheat,37.45,"Organic Wheat, Grade B, from Karnataka, freshly harvested, Veniam sequi praesentium.",1,2
farmeralexanderluthra,Wheat,23.21,"Organic Wheat, Grade C, from Punjab, freshly harvested",1,1
farmerjprashad,Cabbage,40.49,"Organic Cabbage, Grade C, from Punjab, premium quality, Tenetur dolore asperiores.",1,1
farmerbakshipraneel,Oranges,89.98,"Conventional Oranges, Grade A, from Uttar Pradesh, freshly harvested, Dolorum ut quam reprehenderit.",0,3
farmervirkjasmit,Mangoes,260.21,"Organic Mangoes, Grade C, from Uttar Pradesh, hand-picked",1,1
farmerbalaradha,Bananas,92.75,"Organic Bananas, Grade A, from Punjab, hand-picked, Sed reprehenderit temporibus.",1,3
farmersathekaran,Potatoes,38.33,"Organic Potatoes, Grade B, from Gujarat, premium quality",1,2
farmersamilila,Tomatoes,70.15,"Organic Tomatoes, Grade A, from Maharashtra, locally grown",1,3
farmerbhanumatidash,Onions,39.21,"Conventional Onions, Grade A, from Karnataka, locally grown, Nihil repudiandae excepturi molestiae eligendi.",0,3
farmerkzacharia,Potatoes,34.96,"Organic Potatoes, Grade C, from Gujarat, farm-fresh, Enim maxime et.",1,1
farmerbumbamrita,Carrots,89.32,"Organic Carrots, Grade A, from Karnataka, freshly harvested, Deserunt qui.",1,3
farmerniteshpandya,Spinach,33.47,"Conventional Spinach, Grade B, from Gujarat, hand-picked, Atque fuga quas.",0,2
farmerasibal,Potatoes,28.66,"Conventional Potatoes, Grade B, from Karnataka, farm-fresh",0,2
farmertkumar,Oranges,108.19,"Organic Oranges, Grade B, from Maharashtra, premium quality",1,2
farmerlradhakrishnan,Wheat,54.38,"Organic Wheat, Grade A, from Uttar Pradesh, farm-fresh",1,3
farmerbalhaar27,Bananas,65.49,"Conventional Bananas, Grade A, from Uttar Pradesh, hand-picked, Praesentium sint architecto quae officiis.",0,3
farmerrachanasethi,Spinach,22.44,"Conventional Spinach, Grade C, from Uttar Pradesh, locally grown",0,1
farmerhpatel,Bananas,52.72,"Conventional Bananas, Grade C, from Tamil Nadu, farm-fresh",0,1
farmersairamachandran,Carrots,42.97,"Conventional Carrots, Grade B, from Karnataka, premium quality",0,2
farmerekavirbose,Wheat,25.98,"Conventional Wheat, Grade C, from Gujarat, hand-picked, Nemo culpa rem nulla.",0,1
farmerupadhyaywishi,Bananas,41.74,"Conventional Bananas, Grade C, from Uttar Pradesh, hand-picked, Occaecati cumque provident deserunt.",0,1
farmeraadighose,Carrots,51.26,"Organic Carrots, Grade C, from Tamil Nadu, farm-fresh",1,1
farmersurihamsini,Cauliflower,18.24,"Conventional Cauliflower, Grade C, from Uttar Pradesh, locally grown",0,1
farmeredhithasachdeva,Apples,182.09,"Organic Apples, Grade C, from Punjab, locally grown, Quia quibusdam repudiandae labore.",1,1
farmerbmohanty,Onions,48.44,"Organic Onions, Grade A, from Karnataka, premium quality",1,3
farmerjhaverifalguni,Spinach,54.99,"Conventional Spinach, Grade A, from Gujarat, locally grown, Quis asperiores et tempore vel.",0,3
farmerfarajcontractor,Okra,54.52,"Conventional Okra, Grade C, from Tamil Nadu, locally grown",0,1
farmeraarav29,Mangoes,263.75,"Organic Mangoes, Grade B, from Tamil Nadu, locally grown",1,2
farmerttata,Apples,175.46,"Organic Apples, Grade C, from Gujarat, freshly harvested",1,1
farmershivanshmallick,Green Peas,63.3,"Organic Green Peas, Grade B, from Gujarat, premium quality, Accusamus beatae nihil exercitationem.",1,2
farmerprabhuharita,Okra,62.53,"Conventional Okra, Grade A, from Maharashtra, premium quality",0,3
farmerjairaj46,Onions,52.98,"Organic Onions, Grade B, from Uttar Pradesh, hand-picked, Exercitationem enim harum.",1,2
farmerdiyarajan,Rice,60.83,"Conventional Rice, Grade B, from Karnataka, farm-fresh",0,2
farmerlavanyaverma,Carrots,53.87,"Organic Carrots, Grade B, from Punjab, freshly harvested",1,2
farmerparikhgeetika,Okra,76.08,"Organic Okra, Grade B, from Punjab, hand-picked, At iste a.",1,2
farmerjohalchanchal,Spinach,26.28,"Organic Spinach, Grade C, from Punjab, premium quality",1,1
farmeralka47,Apples,188.78,"Organic Apples, Grade B, from Gujarat, premium quality",1,2
farmeramaira20,Spinach,31.5,"Conventional Spinach, Grade A, from Punjab, premium quality, Officia accusantium minus quidem.",0,3
farmerkamdaransh,Onions,37.01,"Conventional Onions, Grade A, from Punjab, hand-picked",0,3
farmermitali78,Wheat,64.88,"Conventional Wheat, Grade A, from Uttar Pradesh, premium quality",0,3
farmerhemanginichander,Potatoes,56.34,"Organic Potatoes, Grade A, from Karnataka, locally grown",1,3
farmertgoda,Oranges,90.16,"Organic Oranges, Grade B, from Tamil Nadu, locally grown, Distinctio reprehenderit cupiditate tenetur.",1,2
farmerjanujasuresh,Oranges,97.92,"Conventional Oranges, Grade A, from Maharashtra, premium quality",0,3
farmerlalabaghyawati,Spinach,34.01,"Conventional Spinach, Grade A, from Uttar Pradesh, farm-fresh, Explicabo ut nemo.",0,3
farmerchaman40,Tomatoes,51.15,"Conventional Tomatoes, Grade B, from Punjab, freshly harvested",0,2
farmeracharyaubika,Apples,194.69,"Organic Apples, Grade C, from Tamil Nadu, hand-picked",1,1
farmeraadhyawarrior,Cabbage,58.24,"Organic Cabbage, Grade A, from Maharashtra, hand-picked",1,3
farmeryug94,Cabbage,48.19,"Conventional Cabbage, Grade B, from Maharashtra, premium quality",0,2
farmerdhriti83,Cauliflower,63.46,"Conventional Cauliflower, Grade A, from Punjab, freshly harvested, Aperiam unde sunt unde.",0,3
farmeradyabahri,Potatoes,61.6,"Organic Potatoes, Grade A, from Tamil Nadu, freshly harvested",1,3
farmerbaradaarav,Spinach,16.57,"Conventional Spinach, Grade C, from Gujarat, freshly harvested, Illum cumque pariatur.",0,1
farmeraarinisani,Oranges,91.93,"Organic Oranges, Grade B, from Tamil Nadu, freshly harvested",1,2
farmerltalwar,Carrots,48.37,"Conventional Carrots, Grade C, from Punjab, locally grown, Provident occaecati ratione.",0,1
farmervarsha50,Cauliflower,38.4,"Organic Cauliflower, Grade B, from Maharashtra, hand-picked",1,2
farmeradvaynagi,Tomatoes,34.91,"Organic Tomatoes, Grade C, from Punjab, freshly harvested",1,1
farmertanmayiroy,Rice,78.11,"Organic Rice, Grade B, from Maharashtra, hand-picked",1,2
farmerxalak62,Cauliflower,58.23,"Conventional Cauliflower, Grade A, from Uttar Pradesh, hand-picked",0,3
farmerregemaanas,Mangoes,214.39,"Conventional Mangoes, Grade A, from Uttar Pradesh, locally grown",0,3
farmeraarush65,Potatoes,23.28,"Conventional Potatoes, Grade C, from Maharashtra, hand-picked, Esse accusamus laboriosam doloremque nisi.",0,1
farmerpathakkavya,Apples,141.58,"Conventional Apples, Grade B, from Punjab, locally grown",0,2
farmervinayaraj,Potatoes,17.79,"Organic Potatoes, Grade C, from Maharashtra, hand-picked, Natus alias enim cumque quia.",1,1
farmerbattarobert,Okra,87.22,"Organic Okra, Grade A, from Uttar Pradesh, hand-picked",1,3
farmerayushmanuppal,Apples,161.77,"Conventional Apples, Grade B, from Tamil Nadu, hand-picked, Animi officia provident.",0,2
farmerbbhakta,Mangoes,262.01,"Organic Mangoes, Grade B, from Tamil Nadu, locally grown, Necessitatibus natus illum numquam sit.",1,2
farmerharita71,Tomatoes,43.68,"Conventional Tomatoes, Grade B, from Maharashtra, freshly harvested",0,2
farmersalvinikita,Mangoes,259.49,"Organic Mangoes, Grade C, from Uttar Pradesh, farm-fresh, Deserunt nemo magni velit id.",1,1
farmersaibalasubramanian,Rice,85.14,"Organic Rice, Grade B, from Karnataka, premium quality",1,2
farmerlbhatia,Spinach,11.42,"Organic Spinach, Grade C, from Uttar Pradesh, farm-fresh",1,1
farmerhandatanay,Carrots,37.33,"Conventional Carrots, Grade C, from Karnataka, freshly harvested",0,1
farmerjanuja19,Wheat,42.51,"Conventional Wheat, Grade B, from Maharashtra, locally grown",0,2
farmerkataprisha,Rice,76.43,"Organic Rice, Grade C, from Karnataka, hand-picked, Illum iusto distinctio illum.",1,1
farmerpratyush25,Tomatoes,32.13,"Conventional Tomatoes, Grade B, from Tamil Nadu, freshly harvested",0,2
farmerkaulriya,Onions,33.62,"Organic Onions, Grade C, from Gujarat, premium quality",1,1
farmerfdara,Green Peas,45.92,"Conventional Green Peas, Grade B, from Tamil Nadu, freshly harvested",0,2
farmersaumyasankar,Rice,103.64,"Organic Rice, Grade A, from Karnataka, hand-picked, Architecto aut accusantium dolore.",1,3
farmerysom,Apples,201.29,"Organic Apples, Grade A, from Karnataka, premium quality",1,3
farmerebajwa,Mangoes,246.58,"Organic Mangoes, Grade C, from Tamil Nadu, farm-fresh",1,1
farmersrinivasanjagvi,Tomatoes,31.0,"Organic Tomatoes, Grade C, from Tamil Nadu, freshly harvested, Harum iste natus.",1,1
farmerkaranrandhawa,Oranges,97.66,"Conventional Oranges, Grade A, from Maharashtra, freshly harvested",0,3
farmerthakkaraarav,Oranges,92.14,"Organic Oranges, Grade C, from Maharashtra, premium quality, Nihil quia consequuntur excepturi.",1,1
farmeryadavi55,Bananas,45.18,"Organic Bananas, Grade C, from Gujarat, premium quality",1,1
farmerkrishnanyashoda,Onions,41.0,"Conventional Onions, Grade A, from Tamil Nadu, freshly harvested",0,3
farmerurmibora,Carrots,73.07,"Conventional Carrots, Grade A, from Uttar Pradesh, locally grown, Iste delectus.",0,3
farmerwaliurvi,Onions,29.58,"Organic Onions, Grade C, from Maharashtra, freshly harvested",1,1
farmergopalmatthew,Onions,44.99,"Conventional Onions, Grade B, from Gujarat, freshly harvested, Veniam voluptas.",0,2
farmerrobertbrahmbhatt,Spinach,10.0,"Conventional Spinach, Grade B, from Gujarat, premium quality",0,2
farmermukherjeeshaurya,Carrots,44.6,"Organic Carrots, Grade C, from Uttar Pradesh, hand-picked",1,1
farmerdubekai,Tomatoes,74.44,"Organic Tomatoes, Grade A, from Uttar Pradesh, freshly harvested",1,3
farmeravnigade,Mangoes,195.13,"Conventional Mangoes, Grade C, from Maharashtra, freshly harvested",0,1
farmeraarnabhatt,Carrots,90.3,"Organic Carrots, Grade A, from Tamil Nadu, locally grown",1,3
farmerkpurohit,Okra,74.0,"Conventional Okra, Grade A, from Uttar Pradesh, freshly harvested, Minus possimus commodi necessitatibus.",0,3
farmermurtymichael,Apples,208.29,"Organic Apples, Grade B, from Tamil Nadu, hand-picked",1,2
farmerriyathaman,Wheat,52.41,"Organic Wheat, Grade B, from Maharashtra, locally grown, Quos mollitia cupiditate.",1,2
farmerlallyadavi,Carrots,57.48,"Conventional Carrots, Grade A, from Punjab, hand-picked",0,3
farmerabuch,Apples,223.66,"Organic Apples, Grade A, from Punjab, locally grown, Ex beatae quaerat.",1,3
farmersehgalbaghyawati,Wheat,31.22,"Conventional Wheat, Grade C, from Tamil Nadu, farm-fresh, Deserunt ipsam aspernatur sapiente reiciendis.",0,1
farmerbasuaishani,Oranges,55.34,"Conventional Oranges, Grade C, from Tamil Nadu, farm-fresh, Deserunt nihil deleniti.",0,1
farmerqushi76,Green Peas,107.19,"Organic Green Peas, Grade A, from Maharashtra, farm-fresh, Officia sint.",1,3
farmersidhuinaya,Tomatoes,30.05,"Conventional Tomatoes, Grade C, from Uttar Pradesh, freshly harvested, Fugit vitae aliquam eos debitis.",0,1
farmersraju,Apples,193.47,"Organic Apples, Grade B, from Gujarat, hand-picked",1,2
farmerjnadig,Oranges,71.81,"Conventional Oranges, Grade B, from Punjab, hand-picked",0,2
farmerpatlaurvashi,Oranges,91.19,"Conventional Oranges, Grade B, from Tamil Nadu, premium quality",0,2
farmerzminhas,Mangoes,276.88,"Organic Mangoes, Grade A, from Tamil Nadu, locally grown",1,3
farmersomanvasatika,Spinach,44.08,"Conventional Spinach, Grade A, from Gujarat, locally grown",0,3
farmerzjayaraman,Apples,132.39,"Conventional Apples, Grade C, from Tamil Nadu, farm-fresh",0,1
farmergauravbedi,Green Peas,55.86,"Organic Green Peas, Grade C, from Gujarat, locally grown",1,1
farmergeralakshmi,Onions,36.35,"Organic Onions, Grade C, from Punjab, farm-fresh",1,1
farmerkohlibarkha,Okra,63.91,"Conventional Okra, Grade A, from Karnataka, farm-fresh, Voluptates necessitatibus.",0,3
farmerjatin00,Green Peas,79.29,"Organic Green Peas, Grade C, from Tamil Nadu, hand-picked",1,1
farmeridika65,Oranges,92.63,"Organic Oranges, Grade B, from Punjab, freshly harvested, Quo eveniet soluta harum.",1,2
farmergkumer,Potatoes,26.8,"Conventional Potatoes, Grade B, from Uttar Pradesh, freshly harvested",0,2
farmerwkari,Tomatoes,25.89,"Conventional Tomatoes, Grade B, from Uttar Pradesh, hand-picked",0,2
farmermadhavrau,Tomatoes,48.93,"Conventional Tomatoes, Grade B, from Tamil Nadu, freshly harvested",0,2
farmervermajagdish,Cauliflower,54.98,"Conventional Cauliflower, Grade A, from Uttar Pradesh, farm-fresh",0,3
farmersachdevyoshita,Bananas,68.66,"Conventional Bananas, Grade A, from Maharashtra, hand-picked",0,3
farmeransh69,Onions,40.6,"Organic Onions, Grade B, from Karnataka, farm-fresh",1,2
farmerrachita67,Carrots,49.54,"Conventional Carrots, Grade C, from Punjab, hand-picked",0,1
farmerpmohanty,Bananas,52.88,"Organic Bananas, Grade B, from Maharashtra, hand-picked, Possimus placeat cum a.",1,2
farmermmemon,Onions,25.93,"Conventional Onions, Grade C, from Karnataka, premium quality, Porro nam blanditiis.",0,1
farmerdiyengar,Wheat,22.55,"Conventional Wheat, Grade C, from Maharashtra, freshly harvested",0,1
farmernisha01,Mangoes,269.32,"Organic Mangoes, Grade A, from Tamil Nadu, hand-picked, Saepe voluptatibus.",1,3
farmerabajaj,Oranges,112.37,"Organic Oranges, Grade B, from Gujarat, premium quality, Amet sunt.",1,2
farmerbmagar,Okra,59.45,"Organic Okra, Grade B, from Karnataka, farm-fresh, Nihil magnam ratione recusandae aliquam.",1,2
farmerjack38,Cabbage,66.33,"Organic Cabbage, Grade A, from Punjab, freshly harvested",1,3
farmernetra59,Apples,226.91,"Organic Apples, Grade A, from Tamil Nadu, freshly harvested, Suscipit expedita fuga doloremque.",1,3
farmergunbir16,Spinach,33.46,"Conventional Spinach, Grade B, from Tamil Nadu, freshly harvested",0,2
farmermugdha73,Cabbage,33.08,"Conventional Cabbage, Grade B, from Tamil Nadu, freshly harvested",0,2
farmerzehaanparmar,Tomatoes,39.4,"Organic Tomatoes, Grade B, from Uttar Pradesh, hand-picked, Assumenda natus.",1,2
farmerria08,Apples,131.76,"Conventional Apples, Grade C, from Karnataka, locally grown",0,1
farmerkavya21,Onions,32.04,"Organic Onions, Grade B, from Punjab, freshly harvested",1,2
farmerisaiahlata,Mangoes,177.94,"Conventional Mangoes, Grade C, from Maharashtra, freshly harvested, Praesentium quam minus.",0,1
farmergayathri08,Spinach,59.27,"Organic Spinach, Grade A, from Maharashtra, premium quality, Eos praesentium libero suscipit.",1,3
farmerxsami,Onions,64.68,"Organic Onions, Grade A, from Gujarat, farm-fresh",1,3
farmerkaurlakshit,Potatoes,44.34,"Organic Potatoes, Grade B, from Punjab, premium quality, Nam consectetur nisi eos.",1,2
farmerarorarajata,Oranges,87.06,"Organic Oranges, Grade C, from Punjab, freshly harvested",1,1
farmerkrishnaoeshi,Cauliflower,50.36,"Conventional Cauliflower, Grade B, from Uttar Pradesh, farm-fresh",0,2
farmerdhruvgill,Tomatoes,47.91,"Conventional Tomatoes, Grade A, from Uttar Pradesh, premium quality",0,3
farmeruramesh,Oranges,98.3,"Organic Oranges, Grade B, from Gujarat, freshly harvested",1,2
farmerdhruvluthra,Mangoes,251.61,"Organic Mangoes, Grade B, from Gujarat, premium quality",1,2
farmerbhardwajyug,Tomatoes,37.35,"Organic Tomatoes, Grade B, from Uttar Pradesh, locally grown, Laudantium deserunt aut eius.",1,2
farmersai60,Bananas,68.55,"Organic Bananas, Grade C, from Uttar Pradesh, premium quality, Alias voluptate eum.",1,1
farmerramanrehaan,Okra,25.81,"Conventional Okra, Grade C, from Gujarat, locally grown, Tempore quas nostrum molestias.",0,1
farmersakshamsinghal,Oranges,85.56,"Conventional Oranges, Grade B, from Uttar Pradesh, premium quality, Eaque sed a.",0,2
farmerekapadhayre,Tomatoes,62.96,"Organic Tomatoes, Grade B, from Karnataka, hand-picked",1,2
farmersathvikwadhwa,Okra,79.54,"Conventional Okra, Grade A, from Punjab, farm-fresh",0,3
farmerlajita43,Okra,77.97,"Organic Okra, Grade A, from Tamil Nadu, hand-picked, Voluptate alias sequi fugit.",1,3
farmernmannan,Spinach,20.49,"Organic Spinach, Grade C, from Gujarat, freshly harvested",1,1
farmerwpingle,Onions,17.31,"Conventional Onions, Grade C, from Uttar Pradesh, hand-picked",0,1
farmeriprashad,Onions,34.3,"Organic Onions, Grade B, from Tamil Nadu, freshly harvested",1,2
farmermalhotraaayush,Rice,38.51,"Conventional Rice, Grade C, from Maharashtra, farm-fresh",0,1
farmerfmunshi,Apples,222.25,"Organic Apples, Grade A, from Tamil Nadu, freshly harvested",1,3
farmerdevanethan,Green Peas,112.83,"Organic Green Peas, Grade A, from Gujarat, freshly harvested",1,3
farmerhandafalan,Mangoes,203.56,"Conventional Mangoes, Grade B, from Gujarat, farm-fresh, Atque sequi nihil ipsum blanditiis.",0,2
